district,age_group,child_population,program_count,available_count,closed_count,programs_per_1000_children,category_diversity,availability_share,low_cost_share,indoor_share,local_alt_count,neighbor_alt_count,paid_share,reservation_dependency,age_restriction_intensity,rule_complexity,count_scaled,per1000_scaled,diversity_scaled,local_alt_scaled,neighbor_alt_scaled,choice_index,planb_index,barrier_index,district_type
마포구,4-6세,5211,357,149,190,68.50892343120323,45,0.4173669467787115,1.0,0.33613445378151263,149,294,0.0028011204481792717,1.0,0.036414565826330535,0.7432773109243698,0.42319277108433734,0.3046453296709846,1.0,1.0,0.5802469135802469,56.323703731552044,82.86751737732129,44.39425770308123,A 선택 풍부 / 플랜B 풍부
양천구,4-6세,6028,145,78,63,24.054412740544127,26,0.5379310344827586,1.0,0.33793103448275863,78,215,0.013793103448275862,1.0,0.05517241379310345,0.7937931034482758,0.10391566265060241,0.07081381020681149,0.2962962962962963,0.4132231404958678,0.33641975308641975,32.73681121775392,45.697058533787896,46.36206896551723,C 선택 부족 / 플랜B 보완 가능
강서구,4-6세,9934,157,78,71,15.804308435675457,27,0.4968152866242038,1.0,0.4713375796178344,78,303,0.006369426751592357,1.0,0.012738853503184714,0.8550955414012739,0.12198795180722892,0.0274181143511216,0.3333333333333333,0.4132231404958678,0.6080246913580247,33.88952950365967,54.37680299748433,46.82324840764331,A 선택 풍부 / 플랜B 풍부
구로구,4-6세,5311,192,76,109,36.1513839201657,26,0.3958333333333333,1.0,0.24479166666666666,76,248,0.020833333333333332,1.0,0.036458333333333336,0.6919270833333333,0.1746987951807229,0.13444409446589764,0.2962962962962963,0.39669421487603307,0.4382716049382716,33.78054018918408,46.73344875522906,43.65234374999999,A 선택 풍부 / 플랜B 풍부
금천구,4-6세,3042,89,31,56,29.25706771860618,27,0.34831460674157305,1.0,0.3707865168539326,31,106,0.02247191011235955,1.0,0.0,0.5837078651685391,0.01957831325301205,0.09817986822583986,0.3333333333333333,0.024793388429752067,0.0,29.74195799806222,24.575633763580647,40.26685393258427,D 선택 부족 / 플랜B 부족
영등포구,4-6세,5352,154,61,93,28.774289985052317,32,0.3961038961038961,1.0,0.2597402597402597,61,366,0.01948051948051948,1.0,0.05194805194805195,0.7298701298701299,0.11746987951807229,0.09564044873282337,0.5185185185185185,0.2727272727272727,0.8024691358024691,34.77312469641797,54.982363315696645,44.87012987012987,A 선택 풍부 / 플랜B 풍부
동작구,4-6세,4524,136,63,67,30.061892130857647,30,0.4632352941176471,1.0,0.22058823529411764,63,260,0.0,1.0,0.0,0.7897058823529411,0.09036144578313253,0.10241325899529814,0.4444444444444444,0.2892561983471074,0.47530864197530864,33.26401051418426,45.87923201113931,44.74264705882353,C 선택 부족 / 플랜B 보완 가능
관악구,4-6세,9514,124,30,94,13.033424427159973,21,0.24193548387096775,1.0,0.3870967741935484,30,191,0.0,1.0,0.0,0.6959677419354835,0.07228915662650602,0.012843215023609777,0.1111111111111111,0.01652892561983471,0.2623456790123457,25.3825282465792,27.67478878060501,42.39919354838709,D 선택 부족 / 플랜B 부족
서초구,4-6세,7640,334,97,234,43.717277486910994,33,0.2904191616766467,0.9850299401197605,0.3323353293413174,97,193,0.18862275449101795,1.0,0.02694610778443114,0.560179640718563,0.3885542168674699,0.17424082963023277,0.5555555555555556,0.5702479338842975,0.26851851851851855,44.477770443938134,53.10377637745629,45.202095808383234,A 선택 풍부 / 플랜B 풍부
강남구,4-6세,8922,136,28,88,15.243219009190765,21,0.20588235294117646,0.9852941176470589,0.21323529411764705,28,280,0.08088235294117647,1.0,0.08823529411764706,0.5602941176470587,0.09036144578313253,0.0244667739559215,0.1111111111111111,0.0,0.5370370370370371,23.837433754573194,32.00435729847494,43.19852941176471,D 선택 부족 / 플랜B 부족
송파구,4-6세,8680,290,94,186,33.41013824884793,32,0.32413793103448274,0.9896551724137931,0.43103448275862066,94,182,0.034482758620689655,1.0,0.10689655172413794,0.6570689655172414,0.32228915662650603,0.12002509332090229,0.5185185185185185,0.5454545454545454,0.2345679012345679,42.24350606712894,51.88805681334417,44.599137931034484,A 선택 풍부 / 플랜B 풍부
강동구,4-6세,4659,133,82,48,28.546898476067824,22,0.6165413533834586,1.0,0.22556390977443608,82,166,0.0,1.0,0.03759398496240601,0.9169172932330827,0.0858433734939759,0.09444436533806749,0.14814814814814814,0.4462809917355372,0.18518518518518517,30.107463365381797,39.727325660340014,48.67481203007519,D 선택 부족 / 플랜B 부족
종로구,7-9세,4385,892,132,750,203.4207525655644,34,0.14798206278026907,0.9943946188340808,0.3172645739910314,132,197,0.01905829596412556,1.0,0.03699551569506727,0.41266816143497753,1.0,1.0,0.5517241379310345,0.8512396694214877,0.2948328267477204,77.84424771918972,63.52863618983212,36.62836322869955,A 선택 풍부 / 플랜B 풍부
중구,7-9세,6702,481,122,358,71.76962100865414,40,0.25363825363825365,0.9916839916839917,0.31392931392931395,122,287,0.031185031185031187,1.0,0.031185031185031187,0.5202702702702702,0.4963235294117647,0.3247897307559225,0.7586206896551724,0.768595041322314,0.5683890577507599,53.315746393234534,70.50441624943059,39.56600831600831,A 선택 풍부 / 플랜B 풍부
용산구,7-9세,5245,188,72,103,35.843660629170635,31,0.3829787234042553,1.0,0.1702127659574468,72,429,0.0,1.0,0.005319148936170213,0.7303191489361701,0.13725490196078433,0.14053322575051708,0.4482758620689655,0.35537190082644626,1.0,34.18436439848537,60.86428211953457,43.36436170212765,A 선택 풍부 / 플랜B 풍부
성동구,7-9세,10782,225,83,142,20.868113522537563,33,0.3688888888888889,0.9555555555555556,0.2577777777777778,83,254,0.12444444444444444,1.0,0.09777777777777778,0.6071111111111109,0.18259803921568626,0.0637268734285394,0.5172413793103449,0.4462809917355372,0.46808510638297873,35.11109933469655,51.99169417108456,45.86666666666666,A 선택 풍부 / 플랜B 풍부
광진구,7-9세,8839,189,68,117,21.382509333635028,35,0.35978835978835977,1.0,0.2222222222222222,68,280,0.005291005291005291,1.0,0.021164021164021163,0.656084656084656,0.13848039215686275,0.06636509863786091,0.5862068965517241,0.32231404958677684,0.547112462006079,35.094923005844784,50.97412895618725,41.98412698412699,A 선택 풍부 / 플랜B 풍부
