district,week,program_count,available_count,low_cost_share,indoor_share,category_diversity,age_group,availability_share,count_scaled,diversity_scaled,choice_index
광진구,14,2,1,1.0,0.0,2,10-12세,0.5,0.04,0.13333333333333333,29.06666666666667
광진구,15,2,0,1.0,0.0,2,10-12세,0.0,0.04,0.13333333333333333,19.066666666666666
광진구,16,8,1,1.0,0.25,5,10-12세,0.125,0.16,0.3333333333333333,32.266666666666666
광진구,17,4,2,1.0,0.25,4,10-12세,0.5,0.08,0.26666666666666666,35.63333333333334
광진구,18,22,8,1.0,0.0,7,10-12세,0.36363636363636365,0.44,0.4666666666666667,47.0060606060606
광진구,19,5,2,1.0,0.0,4,10-12세,0.4,0.1,0.26666666666666666,31.833333333333336
광진구,20,9,8,1.0,0.5555555555555556,3,10-12세,0.8888888888888888,0.18,0.2,48.63333333333334
광진구,21,5,0,1.0,0.4,4,10-12세,0.0,0.1,0.26666666666666666,27.833333333333332
광진구,22,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
광진구,23,3,1,1.0,0.3333333333333333,3,10-12세,0.3333333333333333,0.06,0.2,31.100000000000005
광진구,24,1,1,1.0,0.0,1,10-12세,1.0,0.02,0.06666666666666667,37.03333333333333
광진구,25,1,0,1.0,0.0,1,10-12세,0.0,0.02,0.06666666666666667,17.033333333333335
광진구,26,2,0,1.0,1.0,1,10-12세,0.0,0.04,0.06666666666666667,27.73333333333333
광진구,27,5,1,1.0,0.4,4,10-12세,0.2,0.1,0.26666666666666666,31.833333333333336
광진구,28,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
광진구,29,2,1,1.0,0.5,1,10-12세,0.5,0.04,0.06666666666666667,32.733333333333334
광진구,30,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
광진구,31,2,0,1.0,1.0,2,10-12세,0.0,0.04,0.13333333333333333,29.06666666666667
광진구,32,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
광진구,33,1,0,1.0,1.0,1,10-12세,0.0,0.02,0.06666666666666667,27.03333333333333
광진구,34,4,0,1.0,0.25,2,10-12세,0.0,0.08,0.13333333333333333,22.966666666666665
